Alert_Time	Token	Adress	Market_Cap	Token_Price	Mint_Authority	LP_burned	Trending	Lord_Impact	Lord_Ratio	TwentyFourHoursVol	Lord_Score	Holders	Deployer	Deployer_Percent	Top_Holders	Liquidity_Pool_Balance	SOL_Supply
13/02 06:59:27 UTC	$WATER	GsTmWmZozAiqD671MYCf1Whz9FtjwaeAAjLYXEWLWF1N	$574,244	$0.000575	Disabled	100%🔥	#0	0	6.4	$3,665,127 | 6274.00%	2.76	451	0.93 SOL	0.00%	42.45%	$154,251	677.6 / 13.4%
13/02 07:39:15 UTC	$DOGEROCKET	y2jgYDjUEGBoTBY1upd4NwHfC4GhzGUWyzHA5DMP1E8	$175,152	$0.00175	Disabled	100%	#2	23.6	1.0	$180,984 | 11294.00%	1.77	562	0.54 SOL	0.00%	53.28%	$21,978	96.2 / 6.4%
13/02 10:43:29 UTC	SafeMoon	AeBrpES8GE9c8XsPdtAYyHZJbsm6F8HDeihiMo73a3Br	$149,932	$0.000150	Disabled	100%	#2	28	8.8	$1,322,561 | 20009.00%	6.97	1024	0.00 SOL	0.00%	28.79%	$21,695	94.5 / 7.3%
13/02 14:44:24 UTC	dogwifsocks	3L8gL3sJ79LGQokWN8qPGwMNLYFBgSwkujb3bMZTPrLV	$93,357	$0.000933	Disabled	100%🔥	#0	0	1.7	$157,342 | 8166.00%	11.67	447	5.87 SOL	9.00%	38.98%	$15,114	68.4 / 8.1%
13/02 15:03:28 UTC	PLANK	DVuaDuQdPZ6H49inC2Xoyx7BpLAAJTPPChSfHuGpy8X4	$33,862	$0.0000339	Disabled	N/A	#0	0	1.1	$37,253	6.54	255	25.49 SOL	0.00%	36.20%	Raydium PLANK/SOL $16,053	72.9 / 23.6%
13/02 15:21:16 UTC	SOCKS	FvvaZ3Xhwz6Nir56QpmHjDZTFC2CZsLXf9CJ1Vqx6NfN	$24,449	$0.0000244	Disabled	100%🔥	#0	0	1.2	$30,218 | 1013.00%	19.73	231	18.09 SOL	0.00%	47.39%	$8,772	39.0 / 18.4%
13/02 16:31:50 UTC	Troll Coin	H8wXLwM9Jio5RBbMCcNVcNRavp4HAExRTDoChU97HSk9	$124,204	$0.000000129	Disabled	N/A	#0	0	1.6	$197,596	27.39	693	0.89 SOL	0.00%	37.72%	$13,406	61.4 / 5.4%
13/02 17:04:39 UTC	Kishu Inu	4JNYWzBdz4jjcsuxPV3BWbwhgKuYFDDkoh9oSk4iLF4L	$33,507	$0.00197	Disabled	N/A	#0	0	1.1	$38,255 | 2428.00%	1.80	275	0.06 SOL	0.00%	37.67%	Raydium KISHU/SOL $9,179	42.3 / 13.7%
13/02 17:22:51 UTC	EARF	Dp3gXCfY6RAByqhDDSTebEChhQQZzyutuJjdgTX5yvZw	$54,561	$0.000130	Disabled	N/A	#0	0	1.9	$102,492	7.03	272	0.73 SOL	8.57%	58.43%	$8,732	40.5 / 7.9%
14/02 04:29:13 UTC	PEPE	AqnRDog3kQsj7DUSdkSiCWYdju6gQQfNz3J692fCSw6c	$27,275	$0.0000273	Disabled	N/A	#0	0	2.6	$72,086 | 874.00%	5.89	292	8.60 SOL	3.00%	41.17%	Raydium PEPE/SOL $6,227	28.1 / 11.4%
14/02 07:02:51 UTC	TROLL	EX6B1P54YCKM7aeLP6bcofYfsEZ5XUBrHYffhQJNwQoP	$20,713	$0.0207	Disabled	N/A	#0	0	1.5	$31,848	18.74	205	0.06 SOL	5.00%	39.95%	$9,425	41.7 / 22.8%
14/02 11:14:04 UTC	Adventure Time	GyMpjjtVFXuBLmBEuxEEGr3XyijHiHr8bQs13ZgMt6Ew	$89,588	$0.0000896	Disabled	100%	#14	15.2	7.9	$706,201 | 2782.00%	13.95	749	1.99 SOL	0.00%	27.04%	$20,107	87.4 / 11.2%
14/02 11:25:27 UTC	$WATER	EtVfJDWZayJLVuxgwrGM2jnTw2vANXjXpWLut9wmcrq5	$37,646	$0.0000376	Disabled	N/A	#0	0	2.0	$77,105 | 1011.00%	13.93	236	0.48 SOL	0.00%	39.91%	Raydium WATER/SOL $9,419	40.7 / 12.6%
14/02 11:48:03 UTC	DUCKER	52ayMXgr2htJtdqRhJVqGABkfr2qiW1WJ53n92ynLdup	$46,532	$0.0000465	Disabled	N/A	#0	0	0.9	$40,997 | 2362.00%	6.41	201	1.12 SOL	1.78%	53.05%	Raydium DUCK/SOL $10,624	46.0 / 11.4%
14/02 15:15:27 UTC	$Squid	4Z8Z2Br8hzqEXiQhzyGvoaigLiaRJb1tFqy3LKMaXr1p	$37,011	$0.370	Disabled	N/A	#0	0	2.4	$88,058 | 628.00%	2.97	239	0.38 SOL	0.00%	43.76%	$10,827	47.4 / 14.3%
14/02 16:01:52 UTC	PJ	7DPXZxBwjgGHLFpx6bSmgB9BYEue6NkA5J68uSQLNRKo	$32,063	$0.0000321	Disabled	N/A	#0	0	3.8	$121,499	15.20	408	0.00 SOL	0.00%	35.90%	$7,711	33.2 / 11.9%
14/02 18:02:28 UTC	CBDC	2KFZCkfxj1Us8YRQZa5vktSxy3GPzFZvVhWj91n8Fv2J	$41,571	$0.000000416	Disabled	N/A	#0	0	1.4	$57,010 | 2232.00%	13.05	206	2.88 SOL	0.00%	55.39%	Raydium CBDC/SOL $11,652	51.5 / 13.7%
13/02 17:30:08 UTC	MOONER	7FQ7nbd4joiJDm6DMVqWCQwcWRajenjgrscVnWXgP9pi	$895,965	$0.896	Disabled	100%🔥	#0	0	1.3	$1,162,562 | -43.21%	0.86	902	4.66 SOL	5.00%	39.32%	$66,251	285.6 / 3.7%
14/02 18:43:03 UTC	Pepxi	BupK5DayR4zgJ9G41b72d4yaahbHRGhUG7Ag9ZA4k6MJ	$44,198	$0.00000442	Disabled	N/A	Not Trending	0	1.0	$45,711 | 2680.00%	13.26	260	6.30 SOL	1.50%	47.89%	Raydium PEPXI/SOL $9,451	41.1 / 10.6%
15/02 02:47:34 UTC	$OIL	BefMP8AV2b2cGQts49ErbZyfFGw77fKtG5jxVLwxB4L8	$220,801	$0.000221	Disabled	100%	#6	21.2	1.0	$217,974 | 31927.00%	4.98	738	1.07 SOL	0.00%	27.10%	$22,519	93.6 / 5.2%
15/02 04:43:53 UTC	BULL	QP2nDRdKcCwSeBLZb57bqViaf3hntte8gNbqouiFDbF	$265,415	$0.0000266	Disabled	N/A	Not Trending	0	0.7	$174,100	28.91	220	1.14 SOL	0.00%	35.62%	$34,041	147.4 / 6.3%
15/02 09:39:41 UTC	MEGADETH	7AJZMgqo1QfJMNLN97VT8VDcL4DwDtMnZ6A8CJ4g91uR	$35,096	$0.00000351	Disabled	N/A	#0	0	1.5	$53,150	3.31	341	0.56 SOL	0.00%	44.44%	$9,293	40.1 / 13.2%
15/02 14:15:10 UTC	Mongoose	6DNv9mePDZsFTfwCaQRweV1ZUg54VaC1x3Kr5cQHc2UW	$45,565	$0.0000000660	Disabled	100%🔥	Not Trending	0	1.0	$46,413 | 1864.00%	2.78	313	0.88 SOL	0.00%	38.32%	$12,752	52.2 / 14.7%
15/02 15:12:34 UTC	Mumu The Bull	8MFSRepRm2VBTkM2zzGQ3pAx6yg8D7e3sPUB2pYdGoE	$54,833	$0.00548	Disabled	N/A	#0	0	1.2	$67,044 | 3964.00%	28.34	236	0.24 SOL	0.00%	39.91%	Raydium BULL/SOL $16,200	70.5 / 14.6%
15/02 16:00:13 UTC	Autistic Jeet	9dHd8osBW7KUjHsX6Ej9UJ7hoTAmu42BYg1cr168eLz5	$79,202	$0.000792	Disabled	100%🔥	#0	0	2.0	$156,467 | 4939.00%	19.78	358	8.26 SOL	0.00%	33.06%	$17,264	75.9 / 10.9%
15/02 16:00:48 UTC	Autistic Jeet	9dHd8osBW7KUjHsX6Ej9UJ7hoTAmu42BYg1cr168eLz5	$63,243	$0.000632	Disabled	100%🔥	#0	0	2.5	$160,409 | 3923.00%	19.89	371	8.26 SOL	0.00%	32.69%	$15,449	67.4 / 12.3%
15/02 18:01:28 UTC	Monke	ASmETAC5CJD1rhjfPTEksttjEAjpffSJmF5knstYMBYk	$249,749	$0.000250	Disabled	100%	#18	12	3.8	$947,755 | 14236.00%	8.48	1126	0.00 SOL	0.00%	27.17%	$33,007	149.0 / 6.5%
15/02 18:01:41 UTC	Monke	ASmETAC5CJD1rhjfPTEksttjEAjpffSJmF5knstYMBYk	$254,360	$0.000254	Disabled	100%	#18	12	3.7	$952,258 | 14501.00%	8.48	1135	0.00 SOL	0.00%	27.17%	Raydium MONKE/SOL $33,331	146.3 / 6.6%
15/02 18:17:34 UTC	Kiba Inu	AwpAuRqubRA5unDPLGa9TvufosyjjmoypMUNAHdxRs6w	$50,212	$0.000502	Disabled	N/A	#15	12.4	2.2	$112,517 | 2109.00%	6.97	443	1.25 SOL	0.00%	32.32%	$11,006	48.8 / 10.9%
15/02 18:27:12 UTC	Brics Currency	2qcbYHpidvxVnGCHeQfBdkhxNNrRtyNni2nYcZU4hFYW	$48,187	$0.0000482	Disabled	100%🔥	#0	0	2.4	$117,469 | 6090.00%	6.46	362	0.25 SOL	5.00%	37.95%	$10,634	46.9 / 11.0%
15/02 20:35:46 UTC	ZOOMER	ZooMSLxMM3eMB15vXhRRezZwYpMZFA4ZMoZjWfGoDEB	$30,292	$0.0303	Disabled	N/A	#0	0	1.2	$37,510 | 2182.00%	2.63	315	0.31 SOL	10.00%	25.24%	Raydium ZOOMER/SOL $10,348	45.7 / 17.0%
15/02 21:53:19 UTC	X	HhJbJnGfx5Zf1wrcPXVqMFZXDBoAr6LKXpfg1tdAb1LW	$22,733	$0.0227	Disabled	100%🔥	#0	0	2.3	$53,242 | 654.00%	9.43	231	0.88 SOL	0.00%	42.24%	$10,078	44.5 / 22.2%
16/02 03:53:03 UTC	MagicInternetBets	6QsLcMf558wAbGWHYeNFWWkGXj7W5AYuBxtrHvAeyLxS	$162,850	$0.00163	Disabled	N/A	#0	0	2.1	$345,936	6.14	692	6.37 SOL	3.03%	39.95%	$23,157	101.9 / 7.2%
16/02 05:50:09 UTC	$LEAN	FAEehJDnTqEjq3AJRPiJVcJVZeCfXuCyist212G9aMwT	$35,860	$0.0000358	Disabled	N/A	#0	0	2.1	$75,128	9.73	282	0.00 SOL	0.00%	41.92%	$8,019	35.5 / 11.2%
16/02 07:27:33 UTC	STONKS	BKAAmHwnUmWm5HNWWjefekD5bAuJ1P7LEGXh1HDDAbJ6	$57,546	$0.0000575	Disabled	100%🔥	#0	0	1.2	$67,980 | 2275.00%	16.79	365	0.00 SOL	0.00%	36.55%	Raydium STONKS/SOL $17,019	75.6 / 15.1%
16/02 11:03:59 UTC	Dank Memes	4wmSSARHuwZRdYzYwNAiBpsYQRnQpLMAffSz7xUqiqcV	$21,331	$0.0000213	Disabled	100%🔥	#0	0	1.5	$31,515 | 1217.00%	11.64	379	3.14 SOL	0.00%	26.04%	Raydium DANK/SOL $8,849	39.5 / 20.7%
16/02 11:38:49 UTC	SIRIUS DOGE	3D9N7L5VP1ZLPwRFBdvSPNstnAenJv332Ei3FC4iYm5H	$20,365	$0.000204	Disabled	100%	#13	13.2	2.4	$49,384 | -35.74%	11.14	247	1.58 SOL	0.00%	39.54%	$5,182	23.0 / 12.7%
15/02 22:55:52 UTC	$Peepo	46vgXryd5J8nS6p58cxYBVFBETK7MUpXjFZ2HmfuYnLN	$416,516	$0.00600	Disabled	100%🔥	#0	0	3.2	$1,331,654 | 63215.00%	28.79	773	0.14 SOL	5.67%	44.76%	$24,918	114.0 / 3.0%
16/02 17:19:06 UTC	Colana	B4cYZYVYeHgLc3W1pCduCYkoS75G6roPaPdPoBCFweNJ	$1,015,313	$0.0101	Disabled	N/A	Not Trending	0	0.1	$144,652 | -2.15%	4.12	2259	0.01 SOL	0.00%	27.64%	Raydium COL/SOL $228,518	1045.9 / 11.2%
16/02 18:30:15 UTC	NIKE	8viUmSdkWvNTZqMGYsUZqt3P9XscqfGNQJB87ToyxfM4	$111,210	$0.000111	Disabled	100%🔥	Not Trending	0	1.3	$147,795 | 6461.00%	6.65	416	1.73 SOL	0.00%	44.13%	$15,248	69.4 / 6.9%
16/02 21:01:49 UTC	$BEAVER	BEAVeRTyt18dCZfLyAvnq6hTQ98CN8ud5PYsGvPP7f3T	$37,901	$0.000379	Disabled	N/A	#0	0	0.9	$33,629 | 2730.00%	5.45	317	0.82 SOL	10.00%	23.10%	$11,692	51.8 / 15.9%
16/02 21:59:00 UTC	Frappecoin	FrAPPest68fTCUKPBiUMahrujEawgCycsd3mvuLqHCbe	$28,669	$0.000287	Disabled	N/A	#13	14	2.2	$63,066 | 936.00%	6.07	221	1.02 SOL	3.00%	41.27%	Raydium FRAPPE/SOL $7,535	33.7 / 13.4%
16/02 23:14:16 UTC	AI	DYyWDr8PsEZE5KCU9E8CBT9PDvYDBf9uuMrPUzofAWfp	$28,188	$0.0282	Disabled	N/A	Not Trending	0	1.2	$35,035	10.21	258	0.51 SOL	0.00%	40.11%	Raydium AI/SOL $8,797	39.5 / 15.8%
17/02 18:34:47 UTC	TAO Inu	2Lq7JRqqrVGxto5vfS43Dsxcs2XLfStBDNW7nEExMG9G	$154,111	$0.000154	Disabled	N/A	Not Trending	0	2.9	$444,516	35.38	441	2.44 SOL	0.00%	38.45%	$32,942	153.9 / 10.6%
17/02 18:57:39 UTC	SIRI	8BfRptAS7UFZbN2LqHRvXE1rQVTqkPMzNFYfY9atoPxy	$38,144	$0.000381	Disabled	N/A	#0	0	2.2	$82,288 | 2823.00%	12.93	424	2.45 SOL	2.00%	39.23%	Raydium SIRI/SOL $8,417	41.8 / 10.3%
17/02 19:41:33 UTC	PawgCoin	8F6o23rkcCobB3zwFFucpB7zeNxDaGdiyCUfBF3nAjJU	$48,097	$0.0000481	Disabled	N/A	#13	14	2.7	$130,987 | 5847.00%	23.98	415	0.01 SOL	1.00%	28.91%	Raydium PAWG/SOL $10,134	46.9 / 10.6%
17/02 20:15:15 UTC	American Psycho	FQjEQ9gJxuHBrXbA5WRNVQXvFMvktwZSsCFHvntkc6ap	$290,316	$0.000290	Disabled	100%🔥	#0	0	0.9	$257,084 | 7721.00%	9.12	447	1.19 SOL	0.00%	35.20%	$34,404	155.9 / 6.0%
18/02 01:39:48 UTC	BOBO	2S6x1oxs1Qgwtn4gjB1EtdhbT5cv5uoqDdZsNbmaercr	$22,380	$0.0000224	Disabled	N/A	#0	0	2.1	$47,518 | 2634.00%	3.93	215	1.74 SOL	0.00%	48.51%	$6,773	31.6 / 14.9%
18/02 07:56:53 UTC	Spurdo	ASKFUnQ1Y6yKoyoUv4qCLkLyTGxMpYt37LuCyRkzeLrG	$62,258	$0.0622	Disabled	100%	#14	14.8	2.7	$166,185 | 2186.00%	2.96	452	7.23 SOL	0.00%	38.36%	$12,154	56.0 / 9.7%
18/02 10:19:06 UTC	Prime	vU1uczbg5EXFceqMn9PaT7zWQxjY5qit9Egsh18BEMU	$37,757	$0.0377	Disabled	100%	#5	20	3.1	$116,038 | 6457.00%	8.75	517	0.57 SOL	0.00%	36.32%	Raydium PRIME/SOL $9,586	42.7 / 12.7%
18/02 10:34:16 UTC	DUKA	BZpwFcQM9DNUnLKrNGUvTTS3KZLvmhoydNRFgjmXUR3s	$46,995	$0.0000470	Disabled	N/A	#0	0	2.5	$119,791 | 1619.00%	4.03	578	32.39 SOL	0.00%	20.31%	Raydium DUKA/SOL $13,206	58.9 / 14.0%
18/02 12:24:28 UTC	Duko	HLptm5e6rTgh4EKgDpYFrnRHbjpkMyVdEeREEa2G7rf9	$5,662,679	$0.000566	Disabled	N/A	Not Trending	0	0.4	$2,217,713 | 220.00%	9.85	2005	0.07 SOL	1.53%	45.37%	Raydium DUKO/SOL $160,407	717.2 / 1.4%
18/02 15:24:27 UTC	SOLDIER	3YZ5dVcssWfEDmrK5Qb2HzB9W9UgkCMhCitFKcNKFqVG	$31,706	$0.0000317	Disabled	100%	#2	20.4	3.6	$113,459 | 1894.00%	2.50	521	1.15 SOL	0.00%	29.73%	$9,463	41.4 / 15.2%
18/02 16:01:04 UTC	$PEPE2.0	DC5ga85huPHP9az3ssTHXWyZbCJHsbR8SULv3yR63baw	$27,813	$0.0278	Disabled	100%🔥	Not Trending	0	1.6	$43,072 | 1077.00%	2.55	316	0.52 SOL	0.00%	48.08%	Raydium PEPE2.0/SOL $8,834	39.5 / 15.8%
18/02 21:09:49 UTC	APU	AoqXWaVrYDymzvCEgSJJkrLxUbEdiXyUyyK3dJZwbj8v	$111,762	$0.000112	Disabled	N/A	Not Trending	0	1.1	$119,196	16.65	317	8.98 SOL	0.00%	53.62%	$13,327	59.1 / 6.0%
18/02 22:21:43 UTC	ROTHSCHILD	5BQ6QFnJWFWtKqRrCRXwDBSTMaweRwcMnQbmQaSmWuzC	$40,919	$0.0000614	Disabled	100%	#5	19.2	3.3	$136,323 | 5082.00%	4.66	388	0.00 SOL	0.00%	42.21%	$9,566	41.7 / 11.8%
19/02 01:19:51 UTC	SOLLY	Btvq4PFCLCG2cqZPkgAVs5SpF6Cdkh6woBMwDA9A5GTf	$112,661	$0.00113	Disabled	100%	#6	21.6	2.7	$303,175 | 12620.00%	1.55	528	2.14 SOL	0.00%	38.70%	$17,343	77.7 / 7.7%
19/02 01:54:29 UTC	Donald Pump 364	HriFTwjSnZMcB2oDwgQRU1yK4nijbeQ5fjNd9YMaPeNw	$78,107	$0.00000781	Disabled	100%	#14	15.6	14.7	$1,147,459 | 1102.00%	35.38	357	0.01 SOL	0.00%	54.33%	$20,614	87.8 / 13.8%
19/02 06:19:40 UTC	MAGIC	9PFbY86ZsmfBrugadXUocpkKuA1GzF9WCnPRQ6iFSvz2	$32,589	$0.0000326	Disabled	100%	#7	18.8	2.5	$83,177 | 2689.00%	3.21	253	0.92 SOL	4.00%	35.81%	$10,227	45.6 / 15.7%
19/02 04:26:03 UTC	SEPE COIN	J2SYe6DKDBBx8Tv3yNHn9APLaGj847bzqXddp1m34MAU	$168,479	$0.000169	Disabled	100%	#13	18	5.8	$975,751 | 15215.00%	14.46	807	0.31 SOL	0.00%	24.64%	Raydium SEPE/SOL $27,120	119.8 / 8.0%
19/02 08:13:16 UTC	BONK	7GaP5Wbm6vtdRHabnktF1UjJBMvVJQftgTS9Y8Zrs7qF	$58,606	$0.0000586	Disabled	N/A	#4	18.8	1.7	$101,853 | 2306.00%	58.46	528	29.74 SOL	0.07%	33.93%	$10,022	44.6 / 8.5%
19/02 09:47:04 UTC	SolDoge	FrZxSREVjuTT1G4kuQ3PBGKEKhV8QzZ3EKsG1AsQTF9C	$85,864	$0.0000172	Disabled	N/A	#0	0	1.2	$101,892 | 1466.00%	10.26	559	27.50 SOL	0.00%	34.01%	Raydium AIDOGE/SOL $15,630	69.6 / 9.1%
19/02 14:17:42 UTC	APE	4SBAEwNY5gHEdgdvQfAFv8mX1avJozr3zS3Y9cPFuao4	$33,660	$0.0000801	Disabled	100%🔥	#0	0	1.8	$61,526 | 3529.00%	4.57	329	3.49 SOL	0.00%	45.09%	$7,934	36.4 / 11.3%
19/02 16:55:27 UTC	SIRI	DXXqW1mGgND7YQZcoq34MDdjmSRu8mbgRuh1bLDewdU4	$47,494	$0.000475	Disabled	100%🔥	#0	0	1.2	$58,302 | 1305.00%	8.21	263	1.62 SOL	0.00%	50.40%	$12,375	55.0 / 13.0%
19/02 17:10:41 UTC	WOODY WOODPECKER	5ish3C97mYsN5jcKyQqEUgdEDnqh26aZZCbQUigkRaMw	$123,850	$0.00124	Disabled	100%🔥	#0	0	1.3	$157,847 | 374.00%	1.59	339	0.24 SOL	2.50%	46.10%	$8,886	39.9 / 3.5%
19/02 22:22:03 UTC	TENDIES	6vzt8JShEfR6s91U3KJkH1oPy6fg3meME8vKWxPLakm8	$65,024	$0.0000975	Disabled	N/A	#0	0	1.1	$73,381	15.78	244	3.61 SOL	0.00%	41.51%	$11,710	51.9 / 9.0%
19/02 23:15:31 UTC	GRIMACE	875yKm7UpU4mpBVg5h5Sr3dsvthPidvkBfE9zVXyTiHn	$22,649	$0.0000226	Disabled	N/A	#0	0	2.8	$63,116	20.65	220	1.46 SOL	0.00%	33.03%	$7,698	35.5 / 16.4%
19/02 23:27:41 UTC	PEPE	6ezUmv1BFf4p1ViGeoRWVeNiReyoHujPYK8Lvkt3aSpH	$97,706	$0.000977	Disabled	100%🔥	#0	0	0.6	$59,330 | 2346.00%	2.21	259	8.34 SOL	0.00%	40.00%	Raydium PEPE/SOL $17,658	80.2 / 8.9%
19/02 23:43:39 UTC	IRS	EYDdQpDuQAfJdHeutq5AJFwKhHNAU7WZwpwR1FBxmsA1	$20,436	$0.00000205	Disabled	100%🔥	#0	0	5.6	$114,664 | 1398.00%	6.59	221	0.35 SOL	0.00%	45.89%	$6,929	31.0 / 17.0%
20/02 00:44:52 UTC	SYC	83ZHfGSPYW3MPG5LVErTjsC4kDptLizoXffn9xH2YdD6	$55,077	$0.0000551	Disabled	100%	#5	29.6	5.3	$294,871 | 1601.00%	1.33	440	7.97 SOL	2.00%	29.22%	$11,891	54.1 / 10.8%
20/02 04:01:51 UTC	FireDoge	HyWQSqPtqBYk6xyxFinNiovs7LFdBnqfZPMVRVJrCGaz	$40,475	$0.0000964	Disabled	100%🔥	#0	0	4.0	$163,545 | 4496.00%	3.52	475	0.08 SOL	0.00%	33.67%	$9,236	42.1 / 11.4%
20/02 03:58:52 UTC	MONKE	84WpqPM55DHxb5XB9dK4cy8jcrGjqoxJAXH7ueuhQUtC	$41,064	$0.0411	Disabled	100%	#13	19.2	9.0	$369,380 | 3518.00%	14.05	381	3.44 SOL	0.00%	35.23%	$13,662	62.2 / 16.6%
