Token	Adress	ATH	Market_Cap	ATH_was	Alert_posted
盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	8.5x	$700,760	a minute ago	an hour ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	9.7x	$797,457	a minute ago	an hour ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	10.7x	$886,251	a minute ago	an hour ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	11.4x	$943,421	a few seconds ago	an hour ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	12.9x	$1,065,897	a few seconds ago	an hour ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	14.4x	$1,154,697	4 minutes ago	an hour ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	15.0x	$1,231,083	a few seconds ago	an hour ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	15x	$1,240,093	a few seconds ago	an hour ago
$TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	1.8x	$85,225	a minute ago	3 minutes ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	3.4x	$140,489	a few seconds ago	6 minutes ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	0.7	$159,262	7 minutes ago	7 minutes ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	3.8x	$178,816	a few seconds ago	11 minutes ago
$TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	4.6x	$220,051	5 minutes ago	16 minutes ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	5.8x	$276,856	a few seconds ago	20 minutes ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	7.3x	$332,029	a minute ago	21 minutes ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	7.6x	$361,026	a minute ago	23 minutes ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	8.5x	$403,041	a few seconds ago	3 hours ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	9.7x	$462,968	a minute ago	3 hours ago
TROLL2.0	0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4	10.4x	$494,896	2 hours ago	5 hours ago
DieHarder	0xeea5fb81328343984298819275bda5489e796e62	7.4x	$900,137	2 days ago	2 days ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	1.9x	$269,374	3 minutes ago	16 minutes ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	2.9x	$405,177	a few seconds ago	20 minutes ago
$APOLLO	0xa37a78a9cf2862f5d8e363cd62071b2120fb320a	2x	$139,242	6 minutes ago	13 minutes ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	4.0x	$560,231	a few seconds ago	26 minutes ago
APOLLO	0xa37a78a9cf2862f5d8e363cd62071b2120fb320a	2.9x	$204,641	a few seconds ago	16 minutes ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	5.1x	$568,556	a few seconds ago	26 minutes ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	6.0x	$839,746	9 minutes ago	an hour ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	6.9x	$973,945	4 minutes ago	2 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	8.2x	$1,099,409	a few seconds ago	2 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	8.9x	$1,260,085	a few seconds ago	2 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	10.1x	$1,429,008	a few seconds ago	2 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	11.9x	$1,681,158	2 minutes ago	2 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	12.6x	$1,768,748	a few seconds ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	13.9x	$1,957,912	2 minutes ago	3 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	14.5x	$2,041,527	a few seconds ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	15.5x	$2,185,797	3 minutes ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	16.8x	$2,364,078	a minute ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	17.6x	$2,484,458	a minute ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	19.7x	$2,780,197	a few seconds ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	20.4x	$2,870,080	15 minutes ago	3 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	21.4x	$3,009,819	a minute ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	23.4x	$3,289,662	a few seconds ago	3 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	24.3x	$3,419,525	a minute ago	3 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	27.5x	$3,689,411	2 hours ago	5 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	28.6x	$3,898,298	2 minutes ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	28.6x	$4,029,783	a few seconds ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	30.5x	$4,298,793	2 minutes ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	32.6x	$4,592,246	3 minutes ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	33.8x	$4,764,846	2 minutes ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	35.2x	$4,800,473	4 minutes ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	35.5x	$5,004,491	a few seconds ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	37.7x	$5,315,170	a minute ago	6 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	41.1x	$5,706,823	a few seconds ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	41.6x	$5,857,134	7 minutes ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	42.3x	$5,959,001	a minute ago	6 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	43.8x	$6,163,779	a few seconds ago	6 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	44.2x	$6,225,131	a few seconds ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	45.5x	$6,411,968	a few seconds ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	46.3x	$6,522,136	a few seconds ago	6 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	48.2x	$6,722,344	a few seconds ago	6 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	48.6x	$6,849,563	2 minutes ago	7 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	49.4x	$6,949,694	a few seconds ago	7 hours ago
$AJAX	0x1d791bf2ef86756383f58047eb427660a933dd2b	2.5x	$130,401	a few seconds ago	3 minutes ago
$AJAX	0x1d791bf2ef86756383f58047eb427660a933dd2b	3.4x	$204,921	a few seconds ago	3 minutes ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	50.5x	$7,115,402	a few seconds ago	8 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	51.4x	$7,242,124	a few seconds ago	8 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	52.4x	$7,375,932	a few seconds ago	8 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	53.7x	$7,561,745	a few seconds ago	8 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	55.3x	$7,631,872	a few seconds ago	8 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	55.3x	$7,793,532	3 minutes ago	8 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	60.2x	$8,050,211	a few seconds ago	8 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	61.8x	$8,475,882	a few seconds ago	8 hours ago
Ferret AI	0xbcbda13bd60bc0e91745186e274d1445078d6b33	61.83x	$8,705,287	28 minutes ago	8 hours ago
$LLORT	0x388554b0e910e60b11176597e66f0ca58cb3b1fe	1.9x	$106,406	7 minutes ago	43 minutes ago
$LLORT	0x388554b0e910e60b11176597e66f0ca58cb3b1fe	3.1x	$152,456	a minute ago	2 hours ago
$LLORT	0x388554b0e910e60b11176597e66f0ca58cb3b1fe	3.6x	$204,929	4 minutes ago	2 hours ago
$LLORT	0x388554b0e910e60b11176597e66f0ca58cb3b1fe	4.9x	$278,181	a few seconds ago	2 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	61.8x	$8,705,287	7 hours ago	15 hours ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	65.1x	$9,138,421	a few seconds ago	15 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	65.1x	$9,163,662	a few seconds ago	15 hours ago
$FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	66.6x	$9,376,385	2 hours ago	17 hours ago
Ferret AI	0xbcbda13bd60bc0e91745186e274d1445078d6b33	67.28x	$9,473,908	19 hours ago	a day ago
$PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	2.0x	$137,427	a few seconds ago	9 minutes ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	1.1	$145,751	N/A	18 minutes ago
$PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	2.8x	$198,081	15 minutes ago	41 minutes ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	3.8x	$266,058	a few seconds ago	an hour ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	5.2x	$350,018	a minute ago	an hour ago
$PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	5.9x	$413,027	a minute ago	an hour ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	6.4x	$446,548	3 minutes ago	an hour ago
$PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	8.1x	$557,913	a minute ago	2 hours ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	8.9x	$626,160	3 minutes ago	2 hours ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	10.1x	$700,158	a few seconds ago	2 hours ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	10.7x	$747,726	2 minutes ago	2 hours ago
PETROCK	0x04c86baf148f9b1f3aee74fd8789151b4866dd83	11.6x	$815,525	5 minutes ago	2 hours ago
$CEX	0xaf943aa900386b5f3735dd8a29812e90ec8c58ee	1.9x	$120,240	5 minutes ago	10 hours ago
$CLS	0x405c3acea5c547612f9bfc6ecf54c0f6dcbf1fbb	1.6x	$110,024	a few seconds ago	4 minutes ago
$CLS	0x405c3acea5c547612f9bfc6ecf54c0f6dcbf1fbb	2.3x	$151,498	2 minutes ago	7 minutes ago
$HOT	0x2e6d29cb34d8ff5f6fae2af1174e851301a2c723	1.8x	$183,159	a few seconds ago	9 minutes ago
$HOT	0x2e6d29cb34d8ff5f6fae2af1174e851301a2c723	2.4x	$241,559	a minute ago	10 minutes ago
XRA	0x32e8dddc3eb15e523f66033e185406994ac77beb	1.9x	$136,230	a few seconds ago	5 minutes ago
XRA	0x32e8dddc3eb15e523f66033e185406994ac77beb	2.9x	$203,588	a minute ago	7 minutes ago
X	0xe14fca047fb3f495885cb4c5f3ceb3458bf384ed	1.7x	$79,976	a few seconds ago	2 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	1.6x	$77,986	a few seconds ago	a minute ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	3.5x	$117,611	a few seconds ago	3 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	3.7x	$178,446	a few seconds ago	4 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	4.2x	$200,125	a few seconds ago	5 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	5.6x	$268,648	a few seconds ago	6 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	7.6x	$327,363	3 minutes ago	9 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	7.8x	$370,513	18 minutes ago	28 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	8.9x	$423,756	a few seconds ago	36 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	10.2x	$483,122	a few seconds ago	36 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	12.3x	$568,655	a few seconds ago	38 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	12.5x	$594,744	a few seconds ago	39 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	14.9x	$710,293	2 minutes ago	42 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	16.6x	$789,269	a few seconds ago	42 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	23.4x	$1,114,538	a minute ago	43 minutes ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	26.5x	$1,261,768	32 minutes ago	an hour ago
CATALYST	0x6349ae2681f495fe1d737e49b8f402e4577e9b4d	2.1x	$157,707	a few seconds ago	6 days ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	26.5x	$1,261,768	2 hours ago	3 hours ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	28.2x	$1,341,262	3 minutes ago	3 hours ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	30.3x	$1,417,753	2 minutes ago	3 hours ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	30.5x	$1,449,097	a minute ago	3 hours ago
$NFT	0x8edc62648236c20e528adb675ad3f3047697186f	2.0x	$1,524,474	a few seconds ago	2 days ago
$NFT	0x8edc62648236c20e528adb675ad3f3047697186f	3.1x	$2,192,442	an hour ago	3 days ago
$Xpayments	0x5499b9a16df25ac8ced96cc2cf701b0ae6ef8878	2.3	$81,520	a few seconds ago	a few seconds ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	43.3x	$1,546,302	a day ago	a day ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	47.9x	$2,075,323	15 minutes ago	a day ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	59.8x	$2,280,240	15 minutes ago	a day ago
TUPELO	0xb15a5aab2a65745314fcd0d7f5080bfa65bd7c03	60.7x	$2,843,161	a minute ago	a day ago
$CEX	0xaf943aa900386b5f3735dd8a29812e90ec8c58ee	3.6x	$182,795	14 minutes ago	3 days ago
$CEX	0xaf943aa900386b5f3735dd8a29812e90ec8c58ee	4.0x	$225,554	5 hours ago	3 days ago
$CEX	0xaf943aa900386b5f3735dd8a29812e90ec8c58ee	5.1x	$287,057	3 hours ago	3 days ago
$NFT	0x8edc62648236c20e528adb675ad3f3047697186f	4.0x	$3,092,914	a minute ago	5 days ago
$NFT	0x8edc62648236c20e528adb675ad3f3047697186f	5.6x	$3,681,950	2 hours ago	5 days ago
$BCI	0x852c4f02448790220c3754ef3432836ae2524b4f	2.5	$122,547	a few seconds ago	a few seconds ago
BCIACC	0x852c4f02448790220c3754ef3432836ae2524b4f	2.56x	$255,824	an hour ago	an hour ago
FERRET	0xbcbda13bd60bc0e91745186e274d1445078d6b33	67.28x	$9,473,908	6 days ago	7 days ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	2.1x	$209,322	a few seconds ago	6 minutes ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	3.0x	$346,265	a minute ago	2 hours ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	4.7x	$472,032	15 minutes ago	3 hours ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	5.2x	$593,016	a few seconds ago	3 hours ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	6.0x	$728,518	a few seconds ago	4 hours ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	7.0x	$840,647	5 minutes ago	4 hours ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	8.2x	$930,851	8 minutes ago	4 hours ago
$FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	9.9x	$996,477	a minute ago	4 hours ago
Flight of the Peace Frog	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	9.92x	$1,212,485	an hour ago	5 hours ago
FROG	0x6fb5f4645c8dd236a2e82c34406c45ba2d200220	9.92x	$1,212,485	2 hours ago	6 hours ago
BRITCOIN	0x462871291703039e1e0e3194f7391f6295972358	2.3x	$90,479	a minute ago	11 minutes ago
BRITCOIN	0x462871291703039e1e0e3194f7391f6295972358	3.0x	$131,136	3 minutes ago	27 minutes ago
BRITCOIN	0x462871291703039e1e0e3194f7391f6295972358	4.6x	$170,699	7 minutes ago	37 minutes ago
LUMIERE	0x1a678d24c5f0947de11cc433ad4be8d0c583bd6b	2.0x	$410,951	2 minutes ago	an hour ago
LUMIERE	0x1a678d24c5f0947de11cc433ad4be8d0c583bd6b	3.2x	$605,852	4 minutes ago	2 hours ago
Cologne	0x9f0da77e1b3cb58a79448a769eef3e6edaa47956	1.6	$72,137	Unknown	2 minutes ago
Cologne	0x9f0da77e1b3cb58a79448a769eef3e6edaa47956	2.1	$154,270	a few seconds ago	9 minutes ago
Cologne	0x9f0da77e1b3cb58a79448a769eef3e6edaa47956	3.2	$230,262	a few seconds ago	11 hours ago
$Cologne	0x9f0da77e1b3cb58a79448a769eef3e6edaa47956	4.1	$294,722	a few seconds ago	11 hours ago
Cologne	0x9f0da77e1b3cb58a79448a769eef3e6edaa47956	5.2	$377,878	a few seconds ago	11 hours ago
$Cologne	0x9f0da77e1b3cb58a79448a769eef3e6edaa47956	6.2	$447,419	a few seconds ago	11 hours ago
Cologne	0x9f0da77e1b3cb58a79448a769eef3e6edaa47956	8.4	$605,384	a few seconds ago	12 hours ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	2.1	$367,929	a few seconds ago	12 minutes ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	3.2	$549,441	a few seconds ago	15 minutes ago
$喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	5.0x	$858,599	a few seconds ago	16 minutes ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	6.1	$1,046,524	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	7.6	$1,310,126	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	8.5	$1,460,925	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	10.7	$1,839,209	a few seconds ago	an hour ago
$喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	14.6	$2,495,547	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	15.9	$2,718,799	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	17.4x	$2,982,045	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	20.4	$3,493,438	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	23.9	$4,088,620	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	27.9	$4,785,557	a few seconds ago	an hour ago
$喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	31.3	$5,368,599	a few seconds ago	an hour ago
喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	32.4	$5,546,982	a few seconds ago	2 hours ago
$喵喵喵喵喵	0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc	33.5	$5,745,326	a few seconds ago	2 hours ago
$WORK	0x5cad41154ad9e0a45c3c75bd1853e73452424fb2	2.1x	$152,757	a few seconds ago	27 minutes ago
$WORK	0x5cad41154ad9e0a45c3c75bd1853e73452424fb2	3.4x	$241,158	a few seconds ago	a day ago
$WORK	0x5cad41154ad9e0a45c3c75bd1853e73452424fb2	5.4x	$385,979	a few seconds ago	a day ago
$PORKY	0x886ba6361ae9260e3b52e73ea6b76de0a7e383b1	3.4x	$370,342	a few seconds ago	2 minutes ago
$PORKY	0x886ba6361ae9260e3b52e73ea6b76de0a7e383b1	4.2x	$454,371	a few seconds ago	4 minutes ago
$PORKY	0x886ba6361ae9260e3b52e73ea6b76de0a7e383b1	6.7x	$721,683	a few seconds ago	4 minutes ago
$PORKY	0x886ba6361ae9260e3b52e73ea6b76de0a7e383b1	7.6x	$822,612	a few seconds ago	an hour ago
